Terry Mills,0.181560284,161990,0,0.5,0.66442953,0.68707483,0.658064516,0.510869565,0.402912621,0.525229358,0.627659574,0.581005587,0.475555556,0,0,0,0.217391304,0.238636364,0.71875,0.418803419,0.252873563,0.205882353,0.192982456,0.388888889,0.634146341,0.415384615,0.905791191,0.636363636,0.457142857,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerrod Mustaf,0.0321513,171990,0,0.25,0.375838926,0.394557823,0.793548387,0.597826087,0.514563107,0.440366972,0.680851064,0.675977654,0.404444444,0.05,0.058252427,0.389,0.376811594,0.386363636,0.7203125,0.504273504,0.172413793,0.147058824,0.140350877,0.518518519,0.536585366,0.523076923,0.795676998,0.636363636,0.502857143,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duane Causwell,0.098817967,181990,0,0.5,0.483221477,0.204081633,0.574193548,0.173913043,0.165048544,0.392201835,0.29787234,0.30726257,0.344444444,0,0,0,0.173913043,0.238636364,0.5140625,0.358974359,0.045977011,0.147058824,0.473684211,0.166666667,0.658536585,0.161538462,0.602365416,0.727272727,0.514285714,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dee Brown,0.182033097,191990,0,0.75,0.704697987,0.197278912,0.693548387,0.456521739,0.446601942,0.341743119,0.489361702,0.508379888,0.355555556,0.2,0.213592233,0.366,0.260869565,0.272727273,0.73125,0.299145299,0.356321839,0.529411765,0.052631579,0.425925926,0.536585366,0.419230769,0.538336052,0.227272727,0.057142857,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Glass,0.032624113,201990,0,0.25,0.382550336,0.408163265,0.929032258,0.97826087,0.86407767,0.408256881,0.925531915,0.893854749,0.431111111,0.375,0.378640777,0.377,0.550724638,0.590909091,0.6890625,0.538461538,0.344827586,0.764705882,0.175438596,0.555555556,0.804878049,0.888461538,0.734502447,0.409090909,0.405714286,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayson Williams,0.118676123,211990,0,0.5,0.463087248,0.088435374,0.687096774,0.489130435,0.398058252,0.497706422,0.606382979,0.575418994,0.446666667,0,0.009708738,0.25,0.434782609,0.545454545,0.5578125,0.427350427,0.057471264,0.088235294,0.140350877,0.407407407,0.804878049,0.457692308,0.813621533,0.590909091,0.514285714,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tate George,0.030260047,221990,0,0.75,0.838926174,0.421768707,0.774193548,0.25,0.27184466,0.263761468,0.340425532,0.379888268,0.255555556,0.075,0.087378641,0.322,0.289855072,0.306818182,0.746875,0.128205128,0.609195402,0.441176471,0.035087719,0.425925926,0.609756098,0.257692308,0.735318108,0.409090909,0.228571429,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Bonner,0.075177305,231990,0,0.75,0.872483221,0.666666667,0.816129032,0.5,0.422330097,0.472477064,0.617021277,0.597765363,0.424444444,0,0.009708738,0.333,0.391304348,0.5,0.5296875,0.760683761,0.229885057,0.382352941,0.087719298,0.444444444,0.609756098,0.453846154,0.501223491,0.545454545,0.371428571,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwayne Schintzius,0.028841608,241990,0,0.75,0.718120805,0.442176871,0.777419355,0.554347826,0.519417476,0.369266055,0.670212766,0.703910615,0.331111111,0,0.019417476,0.158,0.231884058,0.261363636,0.678125,0.487179487,0.264367816,0.147058824,0.438596491,0.481481481,0.756097561,0.453846154,0.832381729,0.772727273,0.628571429,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaa Abdelnaby,0.046808511,251990,0,0.75,0.879194631,0.387755102,0.235483871,0.22826087,0.169902913,0.610091743,0.35106383,0.312849162,0.553333333,0,0,0,0.188405797,0.215909091,0.6765625,0.162393162,0.045977011,0.088235294,0.087719298,0.185185185,0.512195122,0.211538462,0.811990212,0.636363636,0.514285714,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Blanks,0.027423168,261990,0,1,0.677852349,0.006802721,0.596774194,0.358695652,0.40776699,0.220183486,0,0,0.28,0,0,0.36,0.333333333,0.363636364,0.678125,0.145299145,0.287356322,0.558823529,0.035087719,0.388888889,0.512195122,0.396153846,0.744290375,0.363636364,0.228571429,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elden Campbell,0.321040189,271990,0,0.75,0.805369128,0.578231293,0.596774194,0.532608696,0.427184466,0.525229358,0.64893617,0.603351955,0.475555556,0,0.009708738,0.3,0.362318841,0.465909091,0.540625,0.427350427,0.103448276,0.294117647,0.473684211,0.407407407,0.707317073,0.473076923,0.728792822,0.681818182,0.371428571,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Jepsen,0.024586288,281990,0,0.75,0.66442953,0.204081633,0.277419355,0.108695652,0.077669903,0.577981651,0.234042553,0.206703911,0.531111111,0,0,0.25,0.15942029,0.227272727,0.4765625,0.273504274,0.08045977,0.058823529,0.105263158,0.240740741,0.390243902,0.111538462,0.876427406,0.727272727,0.497142857,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
